0	1	2	3	4	5	6	7	8
1	21	21	21	2	7	6	21	21
2	21	21	21	3	8	7	6	1
3	21	21	21	4	9	8	7	2
4	21	21	21	5	10	9	8	3
5	21	21	21	21	21	10	9	4
6	21	1	2	7	12	11	21	21
7	1	2	3	8	13	12	11	6
8	2	3	4	9	14	13	12	7
9	3	4	5	10	15	14	13	8
10	4	5	21	21	21	15	14	9
11	21	6	7	12	17	16	21	21
12	6	7	8	13	18	17	16	11
13	7	8	9	14	19	18	17	12
14	8	9	10	15	20	19	18	13
15	9	10	21	21	21	20	19	14
16	21	11	12	17	21	21	21	21
17	11	12	13	18	21	21	21	16
18	12	13	14	19	21	21	21	17
19	13	14	15	20	21	21	21	18
20	14	15	21	21	21	21	21	19
21	21	21	21	21	21	21	21	21
